MO_Name;Weekday;Hour;Provider;Number
Новогиреево;пн;3.0;1;0.2847647027336149
Кузьминки;пн;3.0;1;0.224107671899988
Гольяново;пн;3.0;1;0.17384212137605456
Северное Измайлово;пн;3.0;1;0.4717088031703288
Капотня;пн;3.0;1;0.05534347418478583
Выхино-Жулебино;пн;3.0;1;0.29123183820943943
Восточное Измайлово;пн;3.0;1;0.4678222195794961
Ивановское;пн;3.0;1;0.2647624290338807
Кунцево;пн;3.0;1;0.19909059807578117
Саларьево-Румянцево;пн;3.0;1;0.11898445597242034
Южное Бутово;пн;3.0;1;0.3212000264188292
Выхино;пн;3.0;1;0.27964571257117427
Мякинино-Волоколамская-Митино-Пятницкое шоссе;пн;3.0;1;0.35438385862650645
Бульвар Дмитрия Донского;пн;3.0;1;0.25728716312866023
Новокосино;пн;3.0;1;0.3430495508385504
Аэропорт Шереметьево;пн;3.0;1;0.2572871631292564
Аэропорт Домодедово;пн;3.0;1;0.0
Аэропорт Внуково;пн;3.0;1;0.0
Филёвский Парк;пн;4.0;1;0.2033784654974486
Щукино;пн;4.0;1;0.14511061576354234
Нагатинский Затон;пн;4.0;1;0.16781281576783472
Дмитровский;пн;4.0;1;0.12549108054908992
Тёплый Стан;пн;4.0;1;0.17025356124901464
Ховрино;пн;4.0;1;0.47168483195096317
Ломоносовский;пн;4.0;1;0.2678500527754812
Можайский;пн;4.0;1;0.1951003693735732
Строгино;пн;4.0;1;0.13765759909570444
Крылатское;пн;4.0;1;0.26318912504999453
Головинский;пн;4.0;1;0.2417772157027441
Южное Тушино;пн;4.0;1;0.10125539539494183
Северное Тушино;пн;4.0;1;0.307413110736724
Черёмушки;пн;4.0;1;0.3920648615929655
Покровское-Стрешнево;пн;4.0;1;0.13574354615536752
Хорошёво-Мнёвники;пн;4.0;1;0.12822736659964662
Очаково-Матвеевское;пн;4.0;1;0.19279312532385273
Тропарёво-Никулино;пн;4.0;1;0.21379552394061024
Левобережный;пн;4.0;1;0.29089193309529526
Фили-Давыдково;пн;4.0;1;0.26783934204419335
Обручевский;пн;4.0;1;0.33945513123183263
Раменки;пн;4.0;1;0.3461706183996252
Войковский;пн;4.0;1;0.1996845400950791
Сокол;пн;4.0;1;0.48310574058300587
Западное Дегунино;пн;4.0;1;0.21017292368485185
Проспект Вернадского;пн;4.0;1;0.20859295246216256
Ясенево;пн;4.0;1;0.07564844909689203
Дорогомилово;пн;4.0;1;0.29705812499510614
Коньково;пн;4.0;1;0.4458665711121344
Хорошёвский;пн;4.0;1;0.33239554036769553
Беговой;пн;4.0;1;0.5066981988587739
Коптево;пн;4.0;1;0.5919029853219793
Аэропорт;пн;4.0;1;0.36243820785069514
Пресненский;пн;4.0;1;0.3673752026183055
Бескудниковский;пн;4.0;1;0.32532380418030565
Гагаринский;пн;4.0;1;0.24169367489150365
Тимирязевский;пн;4.0;1;0.21161841716261187
Лианозово;пн;4.0;1;0.34605182906411114
Хамовники;пн;4.0;1;0.3276035149313105
Восточное Дегунино;пн;4.0;1;0.27381627241167883
Савёловский;пн;4.0;1;0.2695625340113552
Академический;пн;4.0;1;0.15645241637722052
Зюзино;пн;4.0;1;0.4636789714236352
Алтуфьевский;пн;4.0;1;0.24274453120482678
Марфино;пн;4.0;1;0.6346247517396466
Чертаново Центральное;пн;4.0;1;0.16932263114727356
Отрадное;пн;4.0;1;0.3892679489653725
Арбат;пн;4.0;1;0.8987526996956884
Чертаново Южное;пн;4.0;1;0.23489441519276283
Бутырский;пн;4.0;1;0.3716019506028092
Тверской;пн;4.0;1;0.5854625185146848
Чертаново Северное;пн;4.0;1;0.40336839816339126
Якиманка;пн;4.0;1;0.33432974017001255
Котловка;пн;4.0;1;0.044744498982045085
Останкинский;пн;4.0;1;0.13519279149262656
Донской;пн;4.0;1;0.37652357470631936
Бибирево;пн;4.0;1;0.4709175922720892
Бирюлёво Западное;пн;4.0;1;0.24303290082876133
Марьина Роща;пн;4.0;1;0.47562869100922445
Нагорный;пн;4.0;1;0.3038964944715811
Свиблово;пн;4.0;1;0.7015177107251879
Даниловский;пн;4.0;1;0.3001245156999175
Мещанский;пн;4.0;1;0.51310214669052
Южное Медведково;пн;4.0;1;0.45771310671702753
Замоскворечье;пн;4.0;1;0.7715404662360824
Северное Медведково;пн;4.0;1;0.6713639677828871
Нагатино-Садовники;пн;4.0;1;0.27704768734090546
Москворечье-Сабурово;пн;4.0;1;0.2581308755423509
Царицыно;пн;4.0;1;0.389022207159702
Басманный;пн;4.0;1;0.7221841919677131
Красносельский;пн;4.0;1;0.5533628099560175
Ростокино;пн;4.0;1;0.4326728117117523
Таганский;пн;4.0;1;0.41946883318540823
Алексеевский;пн;4.0;1;0.4593434523144701
Сокольники;пн;4.0;1;0.34543379482571485
Бирюлёво Восточное;пн;4.0;1;0.20556185865732504
Бабушкинский;пн;4.0;1;0.32456102314340624
Южнопортовый;пн;4.0;1;0.4874812736104242
Ярославский;пн;4.0;1;0.21317777545503946
Печатники;пн;4.0;1;0.15513698629812378
Богородское;пн;4.0;1;0.46310348301131743
